sample,cluster
SAMPLE 1,7
SAMPLE 2,14
SAMPLE 3,14
SAMPLE 4,14
SAMPLE 5,14
SAMPLE 6,7
SAMPLE 7,7
SAMPLE 8,14
SAMPLE 9,7
SAMPLE 10,14
SAMPLE 11,14
SAMPLE 12,14
SAMPLE 13,2
SAMPLE 14,7
SAMPLE 15,1
SAMPLE 16,1
SAMPLE 17,7
SAMPLE 18,14
SAMPLE 19,4
SAMPLE 20,4
SAMPLE 21,1
SAMPLE 22,14
SAMPLE 23,7
SAMPLE 24,7
SAMPLE 25,7
SAMPLE 26,14
SAMPLE 27,7
SAMPLE 28,14
SAMPLE 29,7
SAMPLE 30,7
SAMPLE 31,4
SAMPLE 32,4
SAMPLE 33,4
SAMPLE 34,4
SAMPLE 35,4
SAMPLE 36,4
SAMPLE 37,4
SAMPLE 38,4
SAMPLE 39,4
SAMPLE 40,4
SAMPLE 41,4
SAMPLE 42,4
SAMPLE 43,4
SAMPLE 44,4
SAMPLE 45,4
SAMPLE 46,4
SAMPLE 47,4
SAMPLE 48,4
SAMPLE 49,4
SAMPLE 50,4
SAMPLE 51,4
SAMPLE 52,4
SAMPLE 53,4
SAMPLE 54,4
SAMPLE 55,4
SAMPLE 56,4
SAMPLE 57,13
SAMPLE 58,13
SAMPLE 59,13
SAMPLE 60,13
SAMPLE 61,13
SAMPLE 62,2
SAMPLE 63,2
SAMPLE 64,2
SAMPLE 65,2
SAMPLE 66,2
SAMPLE 67,2
SAMPLE 68,2
SAMPLE 69,4
SAMPLE 70,4
SAMPLE 71,4
SAMPLE 72,4
SAMPLE 73,4
SAMPLE 74,4
SAMPLE 75,4
SAMPLE 76,4
SAMPLE 77,4
SAMPLE 78,4
SAMPLE 79,4
SAMPLE 80,13
SAMPLE 81,13
SAMPLE 82,13
SAMPLE 83,13
SAMPLE 84,13
SAMPLE 85,13
SAMPLE 86,13
SAMPLE 87,1
SAMPLE 88,13
SAMPLE 89,1
SAMPLE 90,13
SAMPLE 91,13
SAMPLE 92,13
SAMPLE 93,13
SAMPLE 94,13
SAMPLE 95,13
SAMPLE 96,13
SAMPLE 97,13
SAMPLE 98,13
SAMPLE 99,13
SAMPLE 100,2
SAMPLE 101,2
SAMPLE 102,2
SAMPLE 103,2
SAMPLE 104,2
SAMPLE 105,2
SAMPLE 106,2
SAMPLE 107,2
SAMPLE 108,2
SAMPLE 109,2
SAMPLE 110,2
SAMPLE 111,4
SAMPLE 112,4
SAMPLE 113,4
SAMPLE 114,4
SAMPLE 115,4
SAMPLE 116,4
SAMPLE 117,4
SAMPLE 118,4
SAMPLE 119,4
SAMPLE 120,4
SAMPLE 121,2
SAMPLE 122,2
SAMPLE 123,11
SAMPLE 124,2
SAMPLE 125,5
SAMPLE 126,11
SAMPLE 127,11
SAMPLE 128,13
SAMPLE 129,13
SAMPLE 130,13
SAMPLE 131,13
SAMPLE 132,13
SAMPLE 133,13
SAMPLE 134,13
SAMPLE 135,13
SAMPLE 136,4
SAMPLE 137,6
SAMPLE 138,4
SAMPLE 139,4
SAMPLE 140,11
SAMPLE 141,13
SAMPLE 142,11
SAMPLE 143,11
SAMPLE 144,6
SAMPLE 145,11
SAMPLE 146,9
SAMPLE 147,10
SAMPLE 148,9
SAMPLE 149,9
SAMPLE 150,13
SAMPLE 151,13
SAMPLE 152,13
SAMPLE 153,1
SAMPLE 154,13
SAMPLE 155,13
SAMPLE 156,13
SAMPLE 157,2
SAMPLE 158,13
SAMPLE 159,13
SAMPLE 160,13
SAMPLE 161,13
SAMPLE 162,13
SAMPLE 163,13
SAMPLE 164,13
SAMPLE 165,13
SAMPLE 166,13
SAMPLE 167,13
SAMPLE 168,13
SAMPLE 169,13
SAMPLE 170,13
SAMPLE 171,13
SAMPLE 172,13
SAMPLE 173,2
SAMPLE 174,2
SAMPLE 175,9
SAMPLE 176,4
SAMPLE 177,4
SAMPLE 178,4
SAMPLE 179,13
SAMPLE 180,13
SAMPLE 181,1
SAMPLE 182,13
SAMPLE 183,13
SAMPLE 184,1
SAMPLE 185,13
SAMPLE 186,13
SAMPLE 187,13
SAMPLE 188,13
SAMPLE 189,13
SAMPLE 190,1
SAMPLE 191,13
SAMPLE 192,13
SAMPLE 193,13
SAMPLE 194,10
SAMPLE 195,9
SAMPLE 196,13
SAMPLE 197,13
SAMPLE 198,13
SAMPLE 199,13
SAMPLE 200,1
SAMPLE 201,13
SAMPLE 202,13
SAMPLE 203,13
SAMPLE 204,13
SAMPLE 205,13
SAMPLE 206,13
SAMPLE 207,13
SAMPLE 208,10
SAMPLE 209,9
SAMPLE 210,2
SAMPLE 211,11
SAMPLE 212,9
SAMPLE 213,9
SAMPLE 214,10
SAMPLE 215,2
SAMPLE 216,11
SAMPLE 217,2
SAMPLE 218,9
SAMPLE 219,2
SAMPLE 220,2
SAMPLE 221,9
SAMPLE 222,9
SAMPLE 223,2
SAMPLE 224,13
SAMPLE 225,13
SAMPLE 226,13
SAMPLE 227,13
SAMPLE 228,13
SAMPLE 229,13
SAMPLE 230,13
SAMPLE 231,4
SAMPLE 232,4
SAMPLE 233,4
SAMPLE 234,3
SAMPLE 235,3
SAMPLE 236,3
SAMPLE 237,7
SAMPLE 238,3
SAMPLE 239,3
SAMPLE 240,3
SAMPLE 241,3
SAMPLE 242,3
SAMPLE 243,3
SAMPLE 244,3
SAMPLE 245,3
SAMPLE 246,3
SAMPLE 247,3
SAMPLE 248,3
SAMPLE 249,3
SAMPLE 250,3
SAMPLE 251,3
SAMPLE 252,3
SAMPLE 253,3
SAMPLE 254,3
