sample,cluster,methylation_class
SAMPLE 1,7,"GBM, G34"
SAMPLE 2,14,"DMG, K27"
SAMPLE 3,14,"DMG, K27"
SAMPLE 4,14,"DMG, K27"
SAMPLE 5,14,"DMG, K27"
SAMPLE 6,7,"GBM, G34"
SAMPLE 7,7,"GBM, G34"
SAMPLE 8,14,"DMG, K27"
SAMPLE 9,7,"GBM, G34"
SAMPLE 10,14,"DMG, K27"
SAMPLE 11,14,"DMG, K27"
SAMPLE 12,14,"DMG, K27"
SAMPLE 13,2,"ATRT, SHH"
SAMPLE 14,7,"GBM, G34"
SAMPLE 15,1,"CONTR, CEBM"
SAMPLE 16,1,"CONTR, CEBM"
SAMPLE 17,7,"GBM, MYCN"
SAMPLE 18,14,"DMG, K27"
SAMPLE 19,4,"CONTR, CEBM"
SAMPLE 20,4,"CONTR, CEBM"
SAMPLE 21,1,"CONTR, CEBM"
SAMPLE 22,14,"DMG, K27"
SAMPLE 23,7,"GBM, G34"
SAMPLE 24,7,"GBM, G34"
SAMPLE 25,7,"GBM, G34"
SAMPLE 26,14,"DMG, K27"
SAMPLE 27,7,"GBM, G34"
SAMPLE 28,14,"DMG, K27"
SAMPLE 29,7,"GBM, G34"
SAMPLE 30,7,"GBM, G34"
SAMPLE 31,4,"LGG, PA PF"
SAMPLE 32,4,"LGG, PA PF"
SAMPLE 33,4,"CONTR, REACT"
SAMPLE 34,4,"LGG, PA PF"
SAMPLE 35,4,"LGG, PA PF"
SAMPLE 36,4,"LGG, PA PF"
SAMPLE 37,4,"LGG, PA PF"
SAMPLE 38,4,"LGG, PA PF"
SAMPLE 39,4,"LGG, PA MID"
SAMPLE 40,4,"LGG, PA PF"
SAMPLE 41,4,"LGG, PA PF"
SAMPLE 42,4,"LGG, PA MID"
SAMPLE 43,4,"LGG, PA PF"
SAMPLE 44,4,"LGG, PA MID"
SAMPLE 45,4,"LGG, PA PF"
SAMPLE 46,4,"LGG, PA PF"
SAMPLE 47,4,"LGG, PA PF"
SAMPLE 48,4,"LGG, PA PF"
SAMPLE 49,4,"LGG, PA PF"
SAMPLE 50,4,"LGG, PA PF"
SAMPLE 51,4,"LGG, PA PF"
SAMPLE 52,4,"LGG, PA MID"
SAMPLE 53,4,"LGG, PA PF"
SAMPLE 54,4,"LGG, PA PF"
SAMPLE 55,4,"LGG, RGNT"
SAMPLE 56,4,"LGG, PA PF"
SAMPLE 57,13,"MB, WNT"
SAMPLE 58,13,"MB, WNT"
SAMPLE 59,13,"MB, WNT"
SAMPLE 60,13,"MB, WNT"
SAMPLE 61,13,"MB, WNT"
SAMPLE 62,2,"ATRT, MYC"
SAMPLE 63,2,"ATRT, SHH"
SAMPLE 64,2,"ATRT, SHH"
SAMPLE 65,2,"ATRT, TYR"
SAMPLE 66,2,"ATRT, TYR"
SAMPLE 67,2,"ATRT, TYR"
SAMPLE 68,2,"ATRT, MYC"
SAMPLE 69,4,"LGG, PA/GG ST"
SAMPLE 70,4,"LGG, PA PF"
SAMPLE 71,4,"LGG, PA PF"
SAMPLE 72,4,"LGG, SEGA"
SAMPLE 73,4,"LGG, PA PF"
SAMPLE 74,4,"LGG, PA PF"
SAMPLE 75,4,"CONTR, REACT"
SAMPLE 76,4,"LGG, PA MID"
SAMPLE 77,4,"LGG, PA MID"
SAMPLE 78,4,"LGG, PA PF"
