sample,0,1,2,3,4,5,6,7,8,9
SAMPLE 1,0.112460166,0.41350424,-0.30358726,0.45899504,-0.5313294,-0.19370085,0.01771283,-0.4173194,1.0286196,-0.26899976
SAMPLE 2,-0.42558685,0.014116421,-0.30580342,0.05927345,-0.7221108,0.14644355,-0.055713423,-0.11118961,1.1966249,0.29219657
SAMPLE 3,-0.3448436,0.07795927,-0.2388533,0.25469872,-0.65633214,0.18375623,-0.3135,-0.22941135,1.131677,0.33849525
SAMPLE 4,-0.42456543,0.032748245,-0.2834471,0.11926787,-0.7203134,-0.0014985041,-0.12524168,-0.106004484,1.2817159,0.31576985
SAMPLE 5,-0.34836116,0.087673284,-0.3184308,0.08759462,-0.57701594,0.09557757,-0.17637187,-0.22710092,1.030228,0.29251406
SAMPLE 6,0.041091986,0.3033522,-0.30750698,0.36614668,-0.4895428,-0.18226387,-0.048455555,-0.38333294,1.0833906,-0.20545524
SAMPLE 7,0.024619268,0.43648487,-0.32792756,0.36166513,-0.7287322,-0.09339267,0.07909996,-0.3905328,0.89875007,-0.18752095
SAMPLE 8,-0.3848602,0.09173624,-0.2982062,0.2871739,-0.5964873,0.017281443,-0.09103204,-0.16667487,1.0962387,0.34755042
SAMPLE 9,0.026539532,0.39208823,-0.32061464,0.42340976,-0.48105025,-0.1585032,-0.022130368,-0.40657598,0.9820077,-0.12612417
SAMPLE 10,-0.33157673,0.12307156,-0.2674983,-0.08335772,-0.7041445,0.081969365,0.061265707,-0.16313913,1.1641233,0.14665385
SAMPLE 11,-0.40500334,-0.0011979182,-0.29912007,0.0028590283,-0.525873,0.2224631,-0.11330554,-0.17096978,1.1176168,0.320518
SAMPLE 12,-0.43081856,-0.022589909,-0.29527587,0.02694579,-0.62729955,0.22480282,-0.13257685,-0.11259759,1.1402963,0.3420986
SAMPLE 13,-0.12011569,0.6261614,0.6650169,-0.005463072,-1.195247,-0.32633308,0.33140078,-0.4370742,1.2426215,-0.11593409
SAMPLE 14,0.072467744,0.42945275,-0.32771915,0.5051817,-0.34518692,-0.043902572,-0.05550123,-0.4208184,0.7890484,-0.15629937
SAMPLE 15,0.038747136,0.60397923,0.07206467,-0.84597945,-0.35899642,-0.22947332,-0.02673738,-0.45030382,1.1751512,0.52120286
SAMPLE 16,0.05326281,0.59920925,0.06857477,-0.7932982,-0.3562426,-0.23762932,-0.01773397,-0.45729965,1.2076622,0.5711381
SAMPLE 17,-0.07188099,0.43182534,-0.39812902,0.023886431,-0.4875356,-0.26201186,0.18774338,-0.33777875,1.1852143,-0.13923185
SAMPLE 18,-0.3480405,0.05419499,-0.28124648,-0.11731915,-0.6496884,0.14936152,-0.08739658,-0.16309533,1.0139098,0.22784445
SAMPLE 19,-0.0948514,0.5098388,-0.057273246,-0.96942174,-0.41368583,-0.15191604,-0.074278,-0.31810185,1.1167604,0.19632293
SAMPLE 20,-0.13546592,0.42171666,0.008455042,-0.995607,-0.45303366,-0.12560429,-0.07912679,-0.29165784,1.1077907,0.114580825
SAMPLE 21,-0.063836694,0.54339373,-0.20057485,-1.0151807,-0.27787375,-0.1574862,-0.09877288,-0.348585,1.0634416,0.25400278
SAMPLE 22,-0.50829506,0.05727823,-0.040404797,-0.00022293665,-0.871297,-0.09578353,-0.018552568,-0.04547863,1.3695759,0.3354752
SAMPLE 23,0.043393474,0.37565967,-0.33321056,0.41435182,-0.6742416,-0.056843854,0.124623656,-0.43577293,1.0514712,-0.19184846
SAMPLE 24,0.06667819,0.4772028,-0.39772072,0.6714885,-0.568778,-0.1957329,0.101672895,-0.4158799,1.0029556,-0.2061256
SAMPLE 25,0.043826755,0.40050727,-0.40461633,0.5528193,-0.36915654,-0.14268464,0.05773526,-0.45541656,0.85483474,-0.1592336
SAMPLE 26,-0.41350645,0.10423637,-0.25022617,0.11988463,-0.9560718,-0.07233632,-0.033296864,-0.12261678,1.1754969,0.31091893
SAMPLE 27,0.027580189,0.44172803,-0.28570467,0.25330094,-0.69458455,-0.4184882,0.067407705,-0.39067945,1.3623539,-0.15277986
SAMPLE 28,-0.3469635,0.042473458,-0.2708752,-0.027320165,-0.489059,0.15967277,-0.06265834,-0.19112471,1.1418478,0.22408246
