sample,dim1,dim2,cluster
SAMPLE 1,12.010082,-0.15151888,7
SAMPLE 2,8.221077,1.322747,14
SAMPLE 3,8.536789,1.1873122,14
SAMPLE 4,8.064356,1.2181118,14
SAMPLE 5,8.566692,1.2838838,14
SAMPLE 6,11.894222,-0.18665603,7
SAMPLE 7,11.900869,-0.2908781,7
SAMPLE 8,8.518545,1.1171086,14
SAMPLE 9,11.896889,-0.15176915,7
SAMPLE 10,7.751127,1.513297,14
SAMPLE 11,8.510557,1.3862168,14
SAMPLE 12,8.422958,1.3682674,14
SAMPLE 13,13.134811,-10.128926,2
SAMPLE 14,11.947945,-0.011414787,7
SAMPLE 15,6.759658,18.168533,1
SAMPLE 16,6.7643595,18.165775,1
SAMPLE 17,11.730392,-0.4234075,7
SAMPLE 18,8.091728,1.4545057,14
SAMPLE 19,6.724337,18.111729,4
SAMPLE 20,4.9031544,8.731275,4
SAMPLE 21,6.7690635,18.15659,1
SAMPLE 22,7.78374,1.1773689,14
SAMPLE 23,11.962578,-0.25003982,7
SAMPLE 24,12.012662,-0.05909178,7
SAMPLE 25,11.946944,-0.03358354,7
SAMPLE 26,7.856115,1.2486504,14
SAMPLE 27,12.134465,-0.38069046,7
SAMPLE 28,8.468839,1.3994597,14
SAMPLE 29,12.136011,-0.37881163,7
SAMPLE 30,11.95807,-0.019535925,7
SAMPLE 31,-0.05677819,5.242701,4
SAMPLE 32,-0.008569699,5.2747188,4
SAMPLE 33,2.185369,5.554299,4
SAMPLE 34,-0.10201435,5.270962,4
SAMPLE 35,1.3173882,5.2552953,4
SAMPLE 36,0.3884707,5.536297,4
SAMPLE 37,0.09373498,5.258297,4
SAMPLE 38,0.62079823,5.1225486,4
SAMPLE 39,-0.13806728,5.333398,4
SAMPLE 40,0.7075735,5.0049787,4
SAMPLE 41,0.33223695,5.1658983,4
SAMPLE 42,0.42146456,5.3030524,4
SAMPLE 43,1.2504493,5.219629,4
SAMPLE 44,0.106616795,5.187712,4
SAMPLE 45,0.37443447,5.5670934,4
SAMPLE 46,0.274361,5.3358245,4
SAMPLE 47,0.6699168,5.2935076,4
SAMPLE 48,-0.07448964,5.4204974,4
SAMPLE 49,0.24202362,5.2604227,4
SAMPLE 50,0.7172891,5.0786023,4
SAMPLE 51,0.13485868,5.146308,4
SAMPLE 52,0.5032563,5.3317256,4
SAMPLE 53,0.65946734,5.2983947,4
SAMPLE 54,0.011839414,5.27064,4
SAMPLE 55,0.95829743,6.3408694,4
SAMPLE 56,-0.066435225,5.386019,4
SAMPLE 57,-9.840105,-2.912254,13
SAMPLE 58,-9.758638,-2.830793,13
SAMPLE 59,-9.797993,-2.8711488,13
SAMPLE 60,-9.818325,-2.8904893,13
SAMPLE 61,-9.792102,-2.8638716,13
